DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
MULTIPLEX_24FPS_211207134801_Multiplex74_F1_9896_Cas9_Tank_specific_21C,84,WE00084,G012,LO001,CO6,24,v1.4(may22-dev),182.777,3.249,4969.000,5.575,117725.000,0.338,0.637,18.000,5.000,0.742,48.000,239.000,0.000,NA,23,300.000
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,62,WE00082,G010,LO001,CO6,13,v1.4(may22-dev),104.247,2.163,1019.000,4.726,134417.000,0.318,0.589,10.000,2.000,0.711,12.000,129.000,0.000,NA,27,300.000
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,24,WE00038,D011,LO001,CO6,13,v1.4(may22-dev),138.072,1.365,629.000,1.058,4099.000,0.300,0.447,1.000,1.000,0.510,0.000,129.000,0.000,NA,48,300.000
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,36,WE00049,E001,LO001,CO6,13,v1.4(may22-dev),80.807,0.970,1651.000,1.929,98920.000,0.334,0.563,2.000,1.000,0.849,53.000,129.000,0.000,NA,92,300.000
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,42,WE00058,E010,LO001,CO6,13,v1.4(may22-dev),126.748,1.547,2581.000,1.807,3841889.000,0.239,0.429,3.000,1.000,0.127,0.000,57.000,0.000,NA,96,300.000
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,53,WE00055,E007,LO001,CO6,13,v1.4(may22-dev),90.590,0.862,2269.000,1.359,3487181.000,0.266,0.479,1.000,1.000,0.132,0.000,52.000,0.000,NA,105,300.000
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,39,WE00041,D008,LO001,CO6,13,v1.4(may22-dev),196.507,0.093,377.000,10.442,6390.000,0.314,0.495,1.000,0.000,0.944,0.000,129.000,0.000,NA,175,300.000
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,6,WE00006,A006,LO001,CO6,24,v1.4(may22-dev),379.134,0.062,1257.000,72.060,105025.000,0.409,0.627,4.000,1.000,0.613,0.000,227.000,0.000,NA,216,300.000
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,68,WE00068,F005,LO001,CO6,24,v1.4(may22-dev),114.347,7.747,11566.000,8.958,139813.000,0.374,0.651,69.000,12.000,0.731,74.000,239.000,0.000,282.400,26,256.400
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,66,WE00066,F007,LO001,CO6,24,v1.4(may22-dev),116.712,2.411,21533.000,5.869,141198.000,0.324,0.556,14.000,3.000,0.726,57.000,239.000,0.000,267.300,24,243.300
