DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,18,WE00018,B007,LO001,CO6,13,v1.3.1(feb22-region),44.71988653,1087.525938,80728,2.164796645,66776,0.278943028,0.490222603,2354,620,0.141623724,40,0,39,159.8,120.8
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,116,WE00048,D001,LO002,CO6,13,v1.3.1(feb22-region),44.95014019,1782.947941,102006,26.64122923,84900,0.335654258,0.815672504,47500,3492,0.183312746,42,0,93,95.9,2.9
OMAR_13FPS_171223115056_Ol_SCN5A_OCA2_WT_21C,15,WE00015,B010,LO001,CO6,13,v1.3.1(feb22-region),51.88793512,9335.222875,107527,2.637601736,93387,0.30490685,0.661162702,24623,2416,0.195839185,43,0,54,52.9,1.1
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,84,WE00014,B011,LO002,CO6,13,v1.3.1(feb22-region),51.96051988,1148.536539,69478,2.253351593,96960,0.252840626,0.457436403,2588,567,0.115921587,44,0,71,172.1,101.1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,124,WE00057,E009,LO002,CO6,13,v1.3.1(feb22-region),54.57983029,2513.008272,128222,34.94866147,99932,0.280030179,0.48964721,87826,5475,0.149896274,46,0,102,93.3,8.7
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,46,WE00058,E010,LO001,CO6,13,v1.3.1(feb22-region),57.02636535,1537.586153,4248,1.677739221,3384724,0.251073461,0.440902482,2580,1175,0.114642185,58,0,54,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,37,WE00049,E001,LO001,CO6,13,v1.3.1(feb22-region),57.99308467,1531.052593,23137,2.260102911,98920,0.282362356,0.496583129,3460,1207,0.209534512,53,0,88,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,125,WE00058,E010,LO002,CO6,13,v1.3.1(feb22-region),61.72254242,1673.322839,49622,11.14484664,51756,0.374584507,0.793989339,18649,2862,0.264539922,47,0,100,NA,200
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,56,WE00069,F004,LO001,CO6,13,v1.3.1(feb22-region),64.70758879,2041.998446,9066,1.646912671,3229891,0.236531166,0.419365805,3363,1564,0.112839179,58,0,67,105.8,38.8
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,63,WE00076,G004,LO001,CO6,13,v1.3.1(feb22-region),69.27561366,1159.12348,52472,124.9237708,81826,0.414953011,0.822023262,144802,13080,0.202584235,47,0,166,168,2
OMAR_13FPS_170829120919_Ol_GIGYF1_CCDC141_Temp_21C,8,WE00020,B005,LO001,CO6,13,v1.3.1(feb22-region),74.55256004,20405.56977,8828,5.358932594,2361759,0.459189248,0.794120195,109352,20385,0.572496602,60,0,26,102,76
OMAR_13FPS_171223125746_Ol_SCN5A_OCA2_WT_28C,21,WE00021,B004,LO001,CO6,13,v1.3.1(feb22-region),83.46375144,16751.07594,869,1.574018807,4356,0.173150557,0.278481485,26367,9913,0.341772152,130,0,18,162.2,144.2
OMAR_13FPS_170814153204_Ol_SCN5A_NKX2_5_Temp_28C,62,WE00075,G003,LO001,CO6,13,v1.3.1(feb22-region),94.52593675,7946.213308,67067,9.134048863,85718,0.380054139,0.764351139,72581,12023,0.39444138,77,0,20,163,143
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,25,WE00037,D012,LO001,CO6,13,v1.3.1(feb22-region),99.19058824,20092.03644,1700,3.796103521,2862874,0.301489566,0.563558247,76271,19081,0.395882353,62,0,25,NA,200
F2_24FPS_210719155352_OlE_HR_IPF2_2x_BQ_21C,6,WE00006,A006,LO001,CO6,24,v1.3.1(feb22-region),102.7873932,12338.47538,936,16.33307553,6082,0.270060331,0.498467129,201525,54397,0.754273504,240,0,18,87.9,69.9
