DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313140410_OlE_HR_IPF0_21C_2x,4,WE00004,A004,LO001,CO1,23.8,v1.4(may22-region),367.632,0.320,1847.000,14.471,3720.000,0.386,0.567,5.000,2.000,0.989,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,10,WE00010,A010,LO001,CO1,23.8,v1.4(may22-region),315.066,1.650,7822.000,8.929,3615.000,0.432,0.672,15.000,2.000,0.946,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,11,WE00011,A011,LO001,CO1,23.78,v1.4(may22-region),516.953,13.398,4820.000,5.677,2949.000,0.474,0.708,76.000,8.000,0.905,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,12,WE00012,A012,LO001,CO1,23.81,v1.4(may22-region),548.543,22.166,5498.000,4.028,4356.000,0.597,0.836,89.000,13.000,0.964,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,14,WE00014,B011,LO001,CO1,23.78,v1.4(may22-region),460.598,7.747,1008.000,6.166,7639.000,0.626,0.830,48.000,11.000,0.995,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,15,WE00015,B010,LO001,CO1,23.84,v1.4(may22-region),321.219,0.797,1546.000,10.824,8396.000,0.385,0.568,9.000,2.000,0.850,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,22,WE00022,B003,LO001,CO1,23.81,v1.4(may22-region),344.094,0.391,1356.000,18.921,4484.000,0.368,0.563,7.000,2.000,0.805,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,25,WE00025,C001,LO001,CO1,23.79,v1.4(may22-region),362.199,3.581,574.000,5.202,3141.000,0.520,0.795,19.000,4.000,0.915,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,26,WE00026,C002,LO001,CO1,23.78,v1.4(may22-region),661.702,0.426,6189.000,116.032,6201.000,0.357,0.460,49.000,11.000,0.703,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,27,WE00027,C003,LO001,CO1,23.78,v1.4(may22-region),326.122,2.894,1585.000,8.461,4861.000,0.530,0.887,24.000,3.000,0.859,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,28,WE00028,C004,LO001,CO1,23.81,v1.4(may22-region),629.903,32.542,3241.000,5.065,3778.000,0.662,0.898,165.000,26.000,0.974,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,29,WE00029,C005,LO001,CO1,23.78,v1.4(may22-region),704.889,6.186,2218.000,17.098,3864.000,0.481,0.642,106.000,20.000,0.970,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,34,WE00034,C010,LO001,CO1,23.81,v1.4(may22-region),903.469,0.615,4923.000,111.628,5625.000,0.341,0.416,69.000,18.000,0.575,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,35,WE00035,C011,LO001,CO1,23.78,v1.4(may22-region),432.116,10.942,7651.000,4.863,4515.000,0.557,0.915,53.000,7.000,0.863,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,37,WE00037,D012,LO001,CO1,23.8,v1.4(may22-region),251.960,0.686,1888.000,6.863,3642.000,0.676,0.826,5.000,2.000,1.000,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,38,WE00038,D011,LO001,CO1,23.8,v1.4(may22-region),517.982,0.262,5820.000,201.784,6684.000,0.345,0.448,53.000,7.000,0.642,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,39,WE00039,D010,LO001,CO1,23.82,v1.4(may22-region),376.784,1.563,5341.000,41.474,5237.000,0.458,0.568,65.000,7.000,0.935,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,40,WE00040,D009,LO001,CO1,23.79,v1.4(may22-region),249.087,0.496,1056.000,6.222,2828.000,0.399,0.775,3.000,1.000,0.944,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,41,WE00041,D008,LO001,CO1,23.82,v1.4(may22-region),367.100,0.562,1632.000,39.669,6097.000,0.327,0.463,22.000,4.000,0.597,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,44,WE00044,D005,LO001,CO1,23.8,v1.4(may22-region),437.143,4.198,3277.000,12.209,11041.000,0.530,0.777,51.000,8.000,0.994,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,52,WE00052,E004,LO001,CO1,23.81,v1.4(may22-region),346.422,0.131,1408.000,118.418,4501.000,0.332,0.431,16.000,3.000,0.642,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,62,WE00062,F011,LO001,CO1,23.8,v1.4(may22-region),801.693,3.038,5659.000,85.776,6523.000,0.397,0.539,261.000,29.000,0.758,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,63,WE00063,F010,LO001,CO1,23.81,v1.4(may22-region),469.279,12.397,9061.000,4.782,5681.000,0.576,0.877,59.000,9.000,0.884,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,65,WE00065,F008,LO001,CO1,23.81,v1.4(may22-region),752.163,1.318,7275.000,74.180,7710.000,0.367,0.472,98.000,15.000,0.818,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,66,WE00066,F007,LO001,CO1,23.79,v1.4(may22-region),483.570,13.699,3410.000,5.790,7497.000,0.633,0.883,79.000,14.000,0.975,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,67,WE00067,F006,LO001,CO1,23.84,v1.4(may22-region),423.388,5.287,6846.000,4.162,6847.000,0.496,0.790,22.000,5.000,0.889,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,68,WE00068,F005,LO001,CO1,23.82,v1.4(may22-region),758.116,0.790,6430.000,142.548,8893.000,0.363,0.473,113.000,20.000,0.717,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,73,WE00073,G001,LO001,CO1,23.82,v1.4(may22-region),210.731,0.062,546.000,54.685,1708.000,0.380,0.477,3.000,1.000,0.965,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,75,WE00075,G003,LO001,CO1,23.83,v1.4(may22-region),562.079,15.643,6174.000,4.904,3660.000,0.495,0.784,77.000,10.000,0.912,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,77,WE00077,G005,LO001,CO1,23.78,v1.4(may22-region),248.143,1.586,1164.000,14.164,3082.000,0.680,0.851,22.000,3.000,0.997,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,78,WE00078,G006,LO001,CO1,23.8,v1.4(may22-region),421.240,6.671,4381.000,3.637,5921.000,0.519,0.828,24.000,5.000,0.872,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,80,WE00080,G008,LO001,CO1,23.8,v1.4(may22-region),628.320,17.611,3817.000,6.260,6130.000,0.589,0.816,110.000,18.000,0.933,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,82,WE00082,G010,LO001,CO1,23.82,v1.4(may22-region),216.266,0.484,612.000,11.208,5512.000,0.541,0.713,5.000,1.000,0.969,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,84,WE00084,G012,LO001,CO1,23.79,v1.4(may22-region),423.884,7.407,5003.000,6.585,2950.000,0.505,0.760,49.000,5.000,0.898,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,85,WE00085,H012,LO001,CO1,23.8,v1.4(may22-region),228.484,0.064,2281.000,49.220,3014.000,0.332,0.428,3.000,1.000,0.767,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,86,WE00086,H011,LO001,CO1,23.8,v1.4(may22-region),479.256,12.729,3238.000,3.488,1999.000,0.545,0.856,44.000,8.000,0.868,0.000,239.000,0.000,96.000,96.000,0.000
